Epic,Feature,Story_ID,Title,User_Story,Acceptance_Criteria,Persona,Priority
Home Page,Home Overview Panel,US-015,Navigate to Tasks & Approvals,"As a Service Line COO, I want to quickly notice pending tasks, so that I can take necessary action without navigating multiple menus","Given I have actionable items
When I load the home page
Then I should see a “My Tasks & Approvals” button to redirect to the tasks page",Service Line,Simple
Home Page,Home- Tasks & Interlocks,US-016,View Tasks & Approvals List,"As a Service Line COO, I want to see all pending approval tasks, so that I immediately understand what needs my attention","Given I am a logged-in COO
When I open the home page
Then I should see a task list showing pending items relevant to my Service Line",Service Line,Medium
Home Page,Home- Tasks & Interlocks,US-017,Understand Task Attributes,"As a Service Line COO, I want each task to display key information, so that I can prioritise what to review","Given I have tasks assigned
When I view the list
Then each row should show task ID, type, description, due date, and status",Service Line,Medium
Home Page,Home- Tasks & Interlocks,US-018,Identify Status and Overdue Items,"As a Service Line COO, I want clear task status indicators, so that overdue or urgent items stand out.","Given today's date and task due dates are available
When a task is past its due date and not completed
Then the task should display an overdue status and visual warning",Service Line,Medium
Home Page,Home- Tasks & Interlocks,US-020,Navigate to Task Detail Page,"As a Service Line COO, I want to open a task and view its details, so that I can take the required decision or provide feedback","Given a task is shown on my list
When I click “view task”
Then I should be taken to the corresponding detail screen with my Service Line context already applied",Service Line,Medium
Home Page,Home- Tasks & Interlocks,US-021,RBAC-Constrained Visibility,"As a Service Line COO, I want to see only tasks relevant to me or my Service Line, so that confidentiality is preserved.","Given RBAC permissions exist
When the task list loads
Then I should only see tasks for my assigned Service Line(s)",Service Line,Medium
Home Page,Home- Tasks & Interlocks,US-022,Empty State When No Tasks,"As a Service Line COO, I want the system to clearly indicate when there are no pending tasks, so that I know nothing requires action.","Given no tasks are assigned to me
When I load the task panel
Then I should see a message such as “No pending tasks",Service Line,Medium
Home Page,Home Alerts,US-024,View Alerts Panel,"As a Service Line COO, I want to see an alert panel on my home page, so that I am instantly aware of important changes","Given I am logged in and on the home page
When alert conditions exist
Then an alerts section should appear summarising the latest alerts",Service Line,Medium
Home Page,Home Alerts,US-025,View Alert Types and Context,"As a Service Line COO, I want each alert to show the details of the change, so that I understand at a glance what has shifted.","Given alerts are visible
When I review an alert row
Then I should see alert type, impacted skill/practice area (if applicable), and the relevant time period",Service Line,Medium
Home Page,Home Alerts,US-026,See No Alerts Message,"As a Service Line COO, I want the system to tell me when no alerts exist, so that I know everything is stable.","Given there are no changes meeting alert thresholds
When I view the home page
Then the alert section should display the message “No alerts.”",Service Line,Medium
Home Page,Home Alerts,US-027,Get Forecast Change Alerts,"As a Service Line COO, I want to be notified when forecast demand materially changes, so that I can plan and respond proactively","Given a forecast exceeds defined change thresholds
When the change is detected
Then an alert should display showing the % change and impacted area",Service Line,Medium
Home Page,Home Alerts,US-028,Get Market Signal Alerts,"As a Service Line COO, I want alerts when relevant market indicators change, so that I can align supply decisions with external cues","Given market signals are updated in source systems
When the update crosses the system’s alert logic
Then I should see a market signal alert in my list",Service Line,Medium
Home Page,Home Alerts,US-029,Get Skill Taxonomy Change Alerts,"As a Service Line COO, I want alerts when skill clusters or profiles are redefined, so that I understand why data shifts may occur.","Given taxonomy or skill micro cluster definitions change
When the system detects this change
Then an alert should indicate the impacted areas and what changed",Service Line,Medium
Home Page,Home Navigation,US-030,Access Application Navigation,"As a Service Line COO, I want a persistent navigation menu, so that I can move across workstreams consistently.","Given I am logged into the application
When I move between epics or pages
Then I should always see the left side menu with fixed Service Line tabs",Service Line,Medium
Home Page,Home Navigation,US-031,Highlight Active Page,"As a Service Line COO, I want the active page to be highlighted in the menu, so that I always know where I am in the application.","Given I am on any application screen
When the navigation menu loads
Then the menu item for the current page should be visually highlighted",Service Line,Simple
Home Page,Home Navigation,US-033,Retain Context on Browser Refresh,"As a Service Line COO, I want my working context to remain unchanged if I refresh the browser, so that I do not lose my place","Given I am viewing a planning view with context applied
When I refresh the browser
Then the Service Line and horizon should still be applied without requiring re-selection",Service Line,Simple
Forecast Dashboard (Business Unit),Trend Analysis,US-BU-004,View BU Wise Demand Stack,"As a Service Line team member, I want to see a stacked bar chart of demand over time, split by Business Unit, so that I can visualize the changing portfolio mix.","Given I am viewing the ""BU wise demand"" widget When the chart loads Then each month's bar should be stacked with segments for ""BU1"", ""BU2"", ""BU3"" And the total height of the bar should represent the aggregate demand of the selected BUs.",Service Line,
Forecast Dashboard (Business Unit),Trend Analysis,US-BU-005,View BU Wise Growth Curves,"As a Service Line team member, I want to compare the growth trajectories of different BUs on a single multi-line chart, so that I can spot if a specific unit is crashing while others are growing.","Given I am viewing the ""BU wise growth rates"" widget When the chart loads Then I should see distinct lines for each top BU And the Y-axis should represent growth percentage (allowing for negative values if a BU is shrinking).",Service Line,
Forecast Dashboard (Business Unit),Data Context,US-BU-008,Delivery Location Context,"As a Service Line team member, I want to see how my BU is performing in specific delivery locations (e.g., Bangalore vs. Pune), so that I can balance my offshore supply chain.","Given I have selected ""Retail NA"" as the BU When I change the ""Delivery Location"" filter to ""Bangalore"" Then the ""BU wise demand"" chart should update to show only the Retail demand fulfilled from Bangalore.",Service Line,
Forecast Dashboard (Business Unit),Data Grid,US-BU-009,View BU Detail Table,"As a Service Line team member, I want to see a detailed table below the charts showing specific demand metrics for each Business Unit, so that I can validate the chart data.","Given I scroll down the page When the table loads Then I should see columns for: Business Unit, Month (Jan, Feb...), Total Demand, and YoY Growth %.
And the default sort order should be Largest to Lowest by Total Demand.",Markets,
Forecast Dashboard (Business Unit),Data Grid,Fo-NEW-GRID,Default sort in data grid,"As a Service Line team member, I want to view the data grid sor by total demand as default","Given I am on a dashboard page
When I scroll to the bottom data grid section, the default sort order should be Largest to Lowest by Total Demand.",Markets,
Forecast Dashboard (Business Unit),Data Grid,US-BU-013,Calculate Market Share %,"As a Service Line team member, I want to see the ""Market Share"" column in the grid, so that I know what percentage of the total Practice demand each BU represents.","Given the table loads When I view the ""Share %"" column Then the value should be calculated as: (BU Total Demand / Total Practice Demand) * 100.",Markets,
Forecast Dashboard (Business Unit),Download,Fo-NEW-DL,Download dashboard data,"As a Service Line team member, I want to download the dashboard data.","Given I am on a dashboard page
When I click the Download icon
Then a file should be downloaded containing the data grids.",Markets,
Forecast Dashboard (Business Unit),Filters,US-BU-001,Filter by Business Unit,"As a Service Line team member, I want to filter the dashboard by specific ""Business Units"" (e.g., Retail NA), so that I can isolate my specific portfolio from the wider Practice data.","Given the ""Business Unit"" dropdown is available When I select ""Retail NA"" Then the dashboard should refresh to show data only for that BU ",Markets,
Forecast Dashboard (Business Unit),KPI - Ranking,US-BU-002,View Top BUs by Demand,"As a Service Line team member, I want to see a ranked list of the top 3 Business Units by total demand volume, so that I know which verticals are my biggest consumers of talent.","Given multiple BUs have forecast demand When I view the ""Top BUs by demand"" card Then I should see the top 3 BUs sorted descending by volume And the percentage share of total demand (e.g., ""Retail NA - 30%"") should be displayed.",Markets,
Forecast Dashboard (Business Unit),KPI - Ranking,US-BU-003,View Top BUs by Growth,"As a Service Line team member, I want to see which Business Units have the highest Year-over-Year (YoY) growth, so that I can prioritize investment in high-velocity sectors.","Given historical data exists for comparison When I view the ""Top BUs by growth rate"" card Then I should see the top 3 BUs sorted by % growth And the YoY indicator (e.g., ""10% yoy"") should be clearly visible next to the BU name.",Markets,
Forecast Dashboard (Business Unit),Tab Navigation,Fo-NEW-NAV,View and use dashboard navigation tabs,"As a Service Line team member, I want to use the dashboard navigation tabs, so that I can switch between Forecast Overview, Demand Type Breakdown, Business Unit, Location Mix, and Skill Mix.","Given I am on the Forecast Dashboard module
When I click a dashboard tab
Then the selected dashboard page should load.",Markets,
Forecast Dashboard (Forecast Overview),Chart Interaction,US-FD-014,View Precise Values on Hover,"As a Service Line team member, I want to see the exact FTE count and Growth % when I hover over a month/week, so that I don't have to estimate based on the axis lines.","Given I am viewing any of the three trend charts When I hover my mouse over a specific bar (e.g., ""March"" or ""QTR 02"") Then a tooltip should display: 1. Period Name 2. Exact FTE Count (e.g., 2,340) 3. Exact Growth Rate (e.g., +14%).",Service Line,Simple
Forecast Dashboard (Forecast Overview),Consistency,US-FD-017,Synchronize Charts with Global Filters,"As a Service Line team member, I want all three charts (Monthly, Weekly, Quarterly) to update instantly when I change a global filter (e.g., Location), so that the story remains consistent.","Given I change the ""Location"" filter from ""Bangalore"" to ""London"" When the dashboard refreshes Then ALL three charts should redraw simultaneously to reflect London data only.
And the X-axis grain (Year / Quarter / Month) should adjust based on the selected Forecast Horizon.",Service Line,Simple
Forecast Dashboard (Forecast Overview),Data Grid,Fo-NEW-GRID,View data grid,"As a Service Line team member, I want to view the data grid by default sort","Given I am on a dashboard page
When I scroll to the bottom data grid section
Then the data grid should show the same metric values used in the charts for the selected filters
And the default sort order should be Largest to Lowest by Total Demand.",Service Line,Medium
Forecast Dashboard (Forecast Overview),Data Intelligence,US-FD-015,Calculate Trend Signal,"As a Service Line team member, I want the ""Growth Rate"" line to accurately reflect the change against the previous cycle, so that the trend signal is reliable.","Given the current forecast cycle (Cycle N) and previous cycle (Cycle N-1) When the line chart renders Then the data point for a period should be calculated as: (Current Demand - Previous Demand) / Previous Demand.
And the X-axis grain (Year / Quarter / Month) should adjust based on the selected Forecast Horizon.",Service Line,Complex
Forecast Dashboard (Forecast Overview),Empty State,US-FD-018,Chart Empty State,"As a Service Line team member, I want to know if there is no data for a specific view (e.g., Weekly data missing), rather than seeing a broken chart.","Given the selected ""Skill Micro Cluster"" has no demand forecasted for ""Week 1"" When the Weekly chart loads Then it should display a ""No Forecast Data Available for this selection"" message in the chart area.
And the X-axis grain (Year / Quarter / Month) should adjust based on the selected Forecast Horizon.",Service Line,Simple
Forecast Dashboard (Forecast Overview),Error Handling,US-FD-026,Global API Failure,"As a Service Line team member, I want the system to handle data load failures gracefully, so that I am not left staring at spinning loaders.","Given the backend API returns a 500 error When the page attempts to load Then the specific widget failing should show a ""Retry"" button And a global toast message should appear: ""Some data failed to load. Please try again.""",Service Line,Medium
Forecast Dashboard (Forecast Overview),Download,Fo-NEW-DL,Download dashboard data,"As a Service Line team member, I want to download the dashboard data.","Given I am on a dashboard page
When I click the Download icon
Then a file should be downloaded containing the data grids.",Service Line,Simple
Forecast Dashboard (Forecast Overview),Global Filters,US-FD-003,Filter by Forecast Horizon,"As a Service Line team member, I want to change the time horizon (e.g., 6 months vs 12 months), so that the KPIs and charts reflect the specific planning period I am working on.","Given the default view is ""12 Months"" When I select ""6 Months"" from the dropdown Then the ""Forecast Demand"" KPI value should decrease to reflect only that period And all trend charts below should restrict their X-axis to 6 months.",Service Line,Simple
Forecast Dashboard (Forecast Overview),Global Filters,US-FD-004,Cascading Filter Logic,"As a Service Line team member, I want the ""Skill Micro Cluster"" options to filter based on my selected ""Practice Area"", so that I don't see irrelevant skills.","Given I have selected ""Cloud"" as the Practice Area When I click the ""Skill Micro Cluster"" dropdown Then I should only see skills related to Cloud (e.g., Azure, AWS) And I should NOT see skills related to other areas (e.g., Clinical Research).",Service Line,Medium
Forecast Dashboard (Forecast Overview),Initialization,US-FD-001,Default Dashboard Load,"As a Service Line team member, I want the ""Forecast Overview"" tab to load by default with my primary Practice Area selected, so that I see my relevant data immediately.","Given I am a user mapped to the ""Cloud"" practice When I navigate to the ""Forecast Dashboard"" module Then the ""Forecast Overview"" tab should be active And the ""Practice Area"" filter should auto-select ""Cloud"".",Service Line,Medium
Forecast Dashboard (Forecast Overview),Insights,US-FD-010,View Explainability Summary,"As a Service Line team member, I want to see a text summary of the ""Explainability and Recommendations"", so that I understand the ""Why"" behind the numbers without deep analysis.","Given the AI engine has analyzed the data When I look at the fourth panel Then I should see a natural language sentence explaining the primary driver (e.g., ""Growth is from new wins vs replacement"").",Service Line,
Forecast Dashboard (Forecast Overview),KPI Header,US-FD-006,View KPI Definition Tooltip,"As a Service Line team member, I want to see the definition of ""Forecast Demand"", so that I understand exactly what data sources are included (e.g., does it include soft bookings?).","Given I am unsure about a metric When I hover over the ""i"" (Information) icon on the KPI card Then a tooltip should appear defining the calculation logic.",Service Line,
Forecast Dashboard (Forecast Overview),KPI Header,US-FD-005,View Total Forecast Demand,"As a Service Line team member, I want to see the total ""Forecast Demand"" in FTEs for the selected horizon, so that I have a high-level volume anchor.","Given forecast data exists When I view the first KPI card Then I should see the total aggregated FTE count (e.g., 2340).",Service Line,
Forecast Dashboard (Forecast Overview),KPI Header,US-FD-007,View Demand Growth Rates,"As a Service Line team member, I want to see growth rates across different timeframes (QoQ, MoM, WoW), so that I can detect acceleration or deceleration in demand.","Given historical data exists When I view the ""Demand Growth Rate"" card Then I should see three distinct metrics: Quarter-over-Quarter, Month-over-Month, and Week-over-Week.",Service Line,
Forecast Dashboard (Forecast Overview),KPI Header,US-FD-009,View Cancellation Rate,"As a Service Line team member, I want to track the ""Average Cancellation"" rate, so that I can assess the reliability of the demand signal.","Given cancellation data is recorded When I view the third KPI card Then I should see the percentage of demand cancelled (e.g., 40%) And a visual indicator showing if this is high or low risk.",Service Line,
Forecast Dashboard (Forecast Overview),Monthly Trend,US-FD-011,View Monthly Demand vs Growth,"As a Service Line team member, I want to view ""FTE Demand"" and ""Growth Rate"" on a monthly basis, so that I can identify mid-term seasonality or demand spikes."," When I view the ""FTE demand- Monthly"" widget Then I should see a dual-axis chart And ""FTE Demand"" should be represented as Cyan bars (Left Axis) And ""Growth Rate"" should be represented as a Grey line (Right Axis).",Service Line,
Forecast Dashboard (Forecast Overview),Quarterly Trend,US-FD-013,View Quarterly Strategic View,"As a Service Line team member, I want to view demand aggregated by Quarter (Q1-Q4), so that I can align the forecast with fiscal reporting cycles.","Given I am viewing the ""FTE demand- Quarterly"" widget When the chart loads Then the bars should represent the sum of FTEs for all months in that quarter And the line chart should show the QoQ growth percentage.",Service Line,
Forecast Dashboard (Forecast Overview),Tab Navigation,Fo-NEW-NAV,View and use dashboard navigation tabs,"As a Service Line team member, I want to use the dashboard navigation tabs, so that I can switch between Forecast Overview, Demand Type Breakdown, Business Unit, Location Mix, and Skill Mix.","Given I am on the Forecast Dashboard module
When I click a dashboard tab
Then the selected dashboard page should load.",Service Line,
Forecast Dashboard (Forecast Overview),Tab Navigation,US-FD-002,Switch Dashboard Tabs,"As a Service Line team member, I want to switch between different analytical views (e.g., Location Mix, Skill Mix), so that I can investigate demand from different angles.","Given I am on the Forecast Overview When I click the ""Location Mix"" tab Then the main content area should refresh with location-specific charts",Service Line,
Forecast Dashboard (Forecast Overview),Weekly Trend,US-FD-012,View Weekly Demand Granularity,"As a Service Line team member, I want to view the forecast breakdown by Week (W1-W6), so that I can manage short-term ""boots on the ground"" deployment.","Given I am viewing the ""FTE demand- Weekly"" widget When the chart loads Then the X-axis should display standard work weeks (W1, W2, etc.) And the bars should show volume for that specific week only.",Service Line,
Demand Type Breakdown,Data Grid,US-DT-007,View Demand Source Table,"As a Service Line team member, I want to see the detailed demand breakdown by attributes (Location, Cluster, Grade) in a table, so that I can operationalize the specific open roles.","Given I scroll to the ""New Demand vs Backfill"" table When the grid loads Then I should see columns for: Practice Area, Location, Cluster, SO Grade, and Demand Type.
And the default sort order should be Largest to Lowest by Total Demand.",Service Line,Complex
Demand Type Breakdown,Data Grid,US-DT-011,Sort Data Grid,"As a Service Line team member, I want the default sort of the table by totald emand","Given the table is loaded When I click the ""Location"" column header, the default sort order should be Largest to Lowest by Total Demand.",Service Line,Simple
Demand Type Breakdown,Data Grid,US-DT-008,Quarterly Aggregation,"As a Service Line team member, I want to see Quarterly totals (Q1, Q2) automatically calculated within the table, so that I can see the aggregate volume without manual math.","Given the table displays monthly data (Jan, Feb, Mar) When I look at the ""Q 01"" column Then the value should be the SUM of Jan + Feb + Mar for that row.",Service Line,Medium
Demand Type Breakdown,Data Grid,US-DT-009,View Billability Detail,"As a Service Line team member, I want to see a dedicated table for ""Billability Type"", so that I can verify the specific accounting codes (BFD/BTB) assigned to each forecasting line.","Given I scroll to the ""Billability Type"" table When the grid loads, ""Billability Type"" column should be visible And rows should be deafult sorted by total demand highest to lowest",Service Line,Complex
Demand Type Breakdown,Data Grid,US-DT-010,Horizontal Scroll,"As a Service Line team member, I want to scroll horizontally if the forecast horizon extends beyond the screen width, so that I can view future quarters (e.g., Q3, Q4).","Given the forecast covers 12 months When the columns exceed the screen width Then a horizontal scrollbar should appear at the bottom of the table container And the ""Dimension"" columns (Practice Area, Location) should remain frozen (sticky) while scrolling.",Service Line,Complex
Demand Type Breakdown,Download,De-NEW-DL,Download dashboard data,"As a Service Line team member, I want to download the dashboard data.","Given I am on a dashboard page
When I click the Download icon
Then a file should be downloaded containing the data grids.",Service Line,Simple
Demand Type Breakdown,KPI Visualization,US-DT-002,View Contract Type Mix,"As a Service Line team member, I want to see the mix of Contract Types (T&M, Fixed Price, Transaction Based), so that I can assess the commercial risk profile of the forecast.","Given opportunities are tagged with contract types When I view the ""Contract Type Mix"" KPI card Then I should see a Pie Chart split by type And a legend indicating the percentage for each category (e.g., T&M 55%).
And the X-axis grain (Year / Quarter / Month) should adjust based on the selected Forecast Horizon.",Service Line,Medium
Demand Type Breakdown,KPI Visualization,US-DT-001,View New vs Backfill Ratio,"As a Service Line team member, I want to see the percentage split between ""New Demand"" and ""Backfill"", so that I know how much of our hiring is for growth versus replacing attrition.","Given forecast data exists When I view the ""New Demand vs Backfill"" KPI card Then I should see a Pie Chart visualizing the split And the exact percentages (e.g., New 65%, Backfill 35%) should be displayed next to the legend.",Service Line,Medium
Demand Type Breakdown,Tab Navigation,De-NEW-NAV,View and use dashboard navigation tabs,"As a Service Line team member, I want to use the dashboard navigation tabs, so that I can switch between Forecast Overview, Demand Type Breakdown, Business Unit, Location Mix, and Skill Mix.","Given I am on the Forecast Dashboard module
When I click a dashboard tab
Then the selected dashboard page should load.",Service Line,Simple
Demand Type Breakdown,Trend Analysis,US-DT-003,View Demand Source Trend,"As a Service Line team member, I want to view the ""New vs Backfill"" trend over time, so that I can identify seasonal spikes in attrition-based demand.","Given I am viewing the ""New Demand vs Backfill"" chart widget When the chart loads Then I should see a Stacked Bar Chart with months on the X-axis And each bar should be split into ""Wins"" (Cyan) and ""Replacement"" (Purple) segments proportional to volume.
And the X-axis grain (Year / Quarter / Month) should adjust based on the selected Forecast Horizon.",Service Line,Medium
Demand Type Breakdown,Trend Analysis,US-DT-004,View Billability Trend,"As a Service Line team member, I want to see the ""Billability Type"" trend (BFD, BTB, BTM), so that I can forecast revenue versus non-billable overhead.","Given I am viewing the ""Billability Type"" chart widget When the chart loads Then I should see a Stacked Bar Chart And the legend should clearly distinguish between Billability codes (e.g., BFD - Billable For Delivery).
And the X-axis grain (Year / Quarter / Month) should adjust based on the selected Forecast Horizon.",Service Line,Medium
Demand Type Breakdown,Trend Analysis,US-DT-005,Hover for Composition,"As a Service Line team member, I want to hover over a stacked bar to see the specific volume of each segment, so that I don't have to guess the numbers.","Given I am hovering over the ""June"" bar in the Demand Source chart When I pause my mouse Then a tooltip should appear showing: Total: 250 Wins: 150 Replacement: 100.",Service Line,Medium
Forecast Dashboard (Location Mix),Chart - Trend,US-LM-004,Track Mix Evolution,"As a Service Line team member, I want to see how the Onsite/Offshore mix changes month-over-month, so that I can verify if our ""Shift Left"" (move to offshore) initiatives are working.","Given I am viewing the ""Onsite vs Offsite..."" bar chart When the chart loads Then I should see grouped bars for each month And distinct colors for ""Onsite vs Offsite"" and ""Offshore mix"" to allow visual comparison of volume trends.
And the X-axis grain (Year / Quarter / Month) should adjust based on the selected Forecast Horizon.",Service Line,
Forecast Dashboard (Location Mix),Data Grid,Fo-NEW-GRID,View data grid matching chart data,"As a Service Line team member, I want to view the data grid ","Given I am on a dashboard page
When I scroll to the bottom data grid section
Then the data grid should be visible
And the default sort order should be Largest to Lowest by Total Demand.",Service Line,
Forecast Dashboard (Location Mix),Data Grid,US-LM-005,View Countrywise Demand,"As a Service Line team member, I want to see the exact demand numbers for every country in a table, so that I can allocate specific hiring targets to regional recruitment teams.","Given I view the ""Countrywise Demand"" widget When the table loads Then I should see rows for every country with demand And columns for each month in the selected horizon (Jan, Feb, Mar).",Service Line,
Forecast Dashboard (Location Mix),Data Handling,US-LM-008,"Handle ""Nearshore"" Logic","As a Service Line team member, I want ""Nearshore"" locations (e.g., Poland for UK clients) to be tracked separately or grouped logically, so that they aren't incorrectly labeled as ""Onsite"".","Given a location is tagged as ""Nearshore"" When the ""Onsite vs Offshore"" chart renders Then Nearshore should either have its own segment OR be grouped into ""Offshore/Remote"" based on system configuration And not be counted as ""Onsite"".",Service Line,
Forecast Dashboard (Location Mix),Download,Fo-NEW-DL,Download dashboard data,"As a Service Line team member, I want to download the dashboard data.","Given I am on a dashboard page
When I click the Download icon
Then a file should be downloaded containing the data grids.",Service Line,
Forecast Dashboard (Location Mix),KPI - Strategy,US-LM-001,View Onsite vs Offshore Ratio,"As a Service Line team member, I want to see the ""Onsite vs Offshore"" percentage split, so that I can ensure we are meeting our margin targets by maximizing offshore leverage.","Given forecast data is tagged with location types When I view the ""Onsite vs Offshore"" KPI card Then I should see a Pie Chart visualizing the split And the exact percentages (e.g., Offshore 68%) should be displayed.",Service Line,
Forecast Dashboard (Location Mix),KPI - Supply,US-LM-002,View Top Delivery Countries,"As a Service Line team member, I want to see the top contributing countries for delivery, so that I know where our biggest talent hubs are located.","Given data is aggregated by country When I view the ""Top Countries for Delivery"" card Then I should see a list of countries sorted by volume share (e.g., US - 38%) And it should display at least the top 4 locations.",Service Line,
Forecast Dashboard (Location Mix),Tab Navigation,Fo-NEW-NAV,View and use dashboard navigation tabs,"As a Service Line team member, I want to use the dashboard navigation tabs, so that I can switch between Forecast Overview, Demand Type Breakdown, Business Unit, Location Mix, and Skill Mix.","Given I am on the Forecast Dashboard module
When I click a dashboard tab
Then the selected dashboard page should load.",Service Line,
Forecast Dashboard (Skill Mix),Chart - Heatmap,US-SM-006,View Short Fuse Heatmap,"As a Service Line team member, I want to visualize urgent ""Short Fuse"" demand in a heatmap, so that I can instantly spot the months and skills with the highest pressure.","Given demand is flagged as ""Short Fuse"" (Urgent) When I view the ""Short Fuse Demand"" widget Then I should see a grid of Skills (Rows) vs Months (Columns) And cells should be colored Dark Blue for high volume (>200) and Light Blue for low volume (<50).
And the X-axis grain (Year / Quarter / Month) should adjust based on the selected Forecast Horizon.",Service Line,
Forecast Dashboard (Skill Mix),Chart - Trend,US-SM-005,Track Volatility Over Time,"As a Service Line team member, I want to track how ""Stable"" vs ""Volatile"" demand changes over months, so that I can predict when we might need to surge our contractor workforce.","Given I am viewing the ""% Stable & Volatile Demand Clusters"" chart When the line chart renders Then I should see two distinct lines (Cyan for Stable, Blue for Volatile) And the Y-axis should represent the total FTE count or percentage share.",Service Line,
Forecast Dashboard (Skill Mix),Data Grid,US-SM-008,View SkillTable,"As a Service Line team member, I want to see a detailed table of skills (implied below the fold), so that I can Download the list for training curriculum planning.","Given I scroll to the bottom of the page When the ""Skill Details"" table loads Then I should see columns for: leaf skills, Total Demand, Stability, and Short Fuse Count.
And the default sort order should be Largest to Lowest by Total Demand.",Service Line,xxx
Forecast Dashboard (Skill Mix),Data Grid,Fo-NEW-GRID,View data grid in default sort,"As a Service Line team member, I want to view the data grid with deafult sort","Given I am on a dashboard page
When I scroll to the bottom data grid section
Then the data grid should show the data
And the default sort order should be Largest to Lowest by Total Demand.",Service Line,
Forecast Dashboard (Skill Mix),Data Grid - Attributes,US-SM-014,View Grade-Level Demand,"As a Service Line team member, I want to see the ""SO Grade"" (e.g., A, SA, M) for each demand line, so that I can estimate the budget required based on seniority bands.","Given the data grid is loaded When I analyze the ""SO Grade"" column Then I should see the standardized grade code (e.g., 'SA' for Senior Associate) And be able to group/sort by this column to see total demand for specific grades.",Service Line,
Forecast Dashboard (Skill Mix),Data Grid - Hierarchy,US-SM-017,Handle Multiple Leaf Skills,"As a Service Line team member, I want the system to handle cases where one Cluster has multiple Leaf Skills, so that the data isn't duplicated incorrectly.","Given ""Microsoft AD"" cluster has both ""Java"" and "".Net"" leaf skills When the table loads Then these should appear as separate rows And the ""Cluster"" name should be repeated (or grouped) for clarity.",Service Line,xxx
